%time,field.data
1538332983257685923,334
1538332983336342782,330
1538332983462414705,338
1538332983584268585,332
1538332983684388892,333
1538332983780302038,332
1538332983884418717,329
1538332983992941843,333
1538332984102584052,333
1538332984200461138,332
1538332984310941238,333
1538332984428427742,339
1538332984544308581,331
1538332984628183009,332
1538332984737011107,330
1538332984824144723,332
1538332984930727407,364
1538332985048082951,332
1538332985141301619,332
1538332985241850638,328
1538332985367503036,333
1538332985465982872,332
1538332985580539527,352
1538332985700526115,332
1538332985792298120,326
1538332985896179520,333
1538332986010311122,330
1538332986126364862,338
1538332986240474273,335
1538332986325970176,334
1538332986436996696,331
1538332986532758496,331
1538332986641043873,333
1538332986752605232,338
1538332986844564086,334
1538332986956295949,333
1538332987072355821,334
1538332987195184569,334
1538332987291028430,332
1538332987394217182,334
1538332987504452446,331
1538332987616392526,333
1538332987700554461,392
1538332987812299427,334
1538332987924660004,331
1538332988024992498,438
1538332988134154162,327
1538332988229030548,326
1538332988340586685,325
1538332988427347709,353
1538332988552472427,321
1538332988660696796,318
1538332988787251796,320
1538332988873477105,324
1538332988976872098,319
1538332989076357555,313
1538332989184609991,314
1538332989275660281,316
1538332989380362249,316
1538332989474195773,316
1538332989576296100,314
1538332989704475256,314
1538332989801992159,316
1538332989925137673,313
1538332990040455036,322
1538332990134299840,430
1538332990240636888,315
1538332990336625672,320
1538332990435083346,314
1538332990540342282,316
1538332990652578511,313
1538332990760856212,320
1538332990874333964,312
1538332990965236216,317
1538332991064584661,312
1538332991148391879,315
1538332991258542493,315
1538332991360656099,315
1538332991459470006,316
1538332991572549827,315
1538332991668721016,314
1538332991781006478,314
1538332991872757411,315
1538332991976462527,316
1538332992068499870,314
1538332992180748782,315
1538332992296514617,315
1538332992384325242,313
1538332992527453834,317
1538332992629522344,314
1538332992744724363,310
1538332992833929542,316
1538332992936775884,315
1538332993028380347,314
1538332993137168782,317
1538332993228747901,315
1538332993346916126,386
1538332993444529205,335
1538332993576811917,315
1538332993688613654,315
1538332993797334633,310
1538332993917295092,314
1538332994014636926,315
1538332994112770314,336
1538332994229225990,315
1538332994332815305,314
1538332994436863305,313
1538332994540649831,323
1538332994628875971,312
1538332994730978171,314
1538332994872900462,316
1538332994976893488,319
1538332995072519246,314
1538332995176801474,316
1538332995276802976,312
1538332995382866000,315
