time,stamp,magnetic_x,magnetic_y,magnetic_z,magnetic_field_variance_x,magnetic_field_variance_y,magnetic_field_variance_z
1.53139177477132E+018,1.53139177471495E+018,0.000015,0.0001938,0.0003456,0.0048000002,0.0048000002,0.0048000002
1.53139177477642E+018,1.53139177471995E+018,0.0000132,0.0001926,0.0003414,0.0048000002,0.0048000002,0.0048000002
1.5313917747816E+018,1.53139177472595E+018,0.0000132,0.0001998,0.0003414,0.0048000002,0.0048000002,0.0048000002
1.53139177478665E+018,1.53139177473095E+018,0.0000132,0.0001998,0.0003414,0.0048000002,0.0048000002,0.0048000002
1.53139177480679E+018,1.53139177473995E+018,0.0000216,0.0001944,0.000342,0.0048000002,0.0048000002,0.0048000002
1.53139177482744E+018,1.53139177478595E+018,0.0000156,0.0001944,0.0003474,0.0048000002,0.0048000002,0.0048000002
1.53139177483447E+018,1.53139177478795E+018,0.0000198,0.0001962,0.0003408,0.0048000002,0.0048000002,0.0048000002
1.5313917748393E+018,1.53139177479395E+018,0.0000198,0.0001962,0.0003408,0.0048000002,0.0048000002,0.0048000002
1.53139177484422E+018,1.53139177479895E+018,0.0000186,0.0001944,0.0003432,0.0048000002,0.0048000002,0.0048000002
1.53139177484916E+018,1.53139177480495E+018,0.0000186,0.0001944,0.0003432,0.0048000002,0.0048000002,0.0048000002
1.53139177485409E+018,1.53139177480995E+018,0.0000186,0.0001932,0.000345,0.0048000002,0.0048000002,0.0048000002
1.53139177485919E+018,1.53139177481495E+018,0.0000186,0.0001932,0.000345,0.0048000002,0.0048000002,0.0048000002
1.53139177487925E+018,1.53139177482395E+018,0.0000192,0.0001956,0.0003414,0.0048000002,0.0048000002,0.0048000002
1.53139177488433E+018,1.53139177482895E+018,0.0000246,0.0001944,0.0003408,0.0048000002,0.0048000002,0.0048000002
1.53139177490568E+018,1.53139177486795E+018,0.000021,0.0001956,0.0003438,0.0048000002,0.0048000002,0.0048000002
1.53139177491853E+018,1.53139177486995E+018,0.0000144,0.0001962,0.0003474,0.0048000002,0.0048000002,0.0048000002
1.53139177492485E+018,1.53139177487595E+018,0.0000192,0.0001896,0.0003456,0.0048000002,0.0048000002,0.0048000002
1.5313917749336E+018,1.53139177488095E+018,0.0000192,0.0001896,0.0003456,0.0048000002,0.0048000002,0.0048000002
1.53139177494213E+018,1.53139177488695E+018,0.000021,0.0001998,0.0003396,0.0048000002,0.0048000002,0.0048000002
1.53139177494829E+018,1.53139177489195E+018,0.000021,0.0001998,0.0003396,0.0048000002,0.0048000002,0.0048000002
1.53139177495562E+018,1.53139177489695E+018,0.0000162,0.0001956,0.0003414,0.0048000002,0.0048000002,0.0048000002
1.53139177498022E+018,1.53139177490595E+018,0.000012,0.0001884,0.0003396,0.0048000002,0.0048000002,0.0048000002
1.53139177498746E+018,1.53139177491095E+018,0.000012,0.0001884,0.0003396,0.0048000002,0.0048000002,0.0048000002
1.53139177499477E+018,1.53139177491695E+018,0.000009,0.0001926,0.0003456,0.0048000002,0.0048000002,0.0048000002
1.53139177500181E+018,1.53139177492195E+018,0.000009,0.0001926,0.0003456,0.0048000002,0.0048000002,0.0048000002
1.5313917750083E+018,1.53139177492795E+018,0.000012,0.0001926,0.0003648,0.0048000002,0.0048000002,0.0048000002
1.53139177503475E+018,1.53139177493595E+018,0.000012,0.0001926,0.0003648,0.0048000002,0.0048000002,0.0048000002
