%time,field.data
1538332649156805143,405
1538332649277155680,452
1538332649377107106,401
1538332649489786382,407
1538332649609757880,404
1538332649697099373,405
1538332649805582729,402
1538332649929174472,405
1538332650033229464,403
1538332650152843600,406
1538332650250968825,403
1538332650349132046,402
1538332650457244223,404
1538332650558208252,402
1538332650660521018,405
1538332650768899691,406
1538332650873148304,402
1538332650981267893,404
1538332651093296730,449
1538332651209443884,405
1538332651296979070,406
1538332651397217606,404
1538332651521440569,429
1538332651632931925,445
1538332651733263847,401
1538332651845166944,404
1538332651932975952,402
1538332652035236988,402
1538332652157270251,402
1538332652242050837,405
1538332652342578154,403
1538332652465253115,405
1538332652556964995,409
1538332652665230793,404
1538332652781328403,402
1538332652885254975,403
1538332652982498386,401
1538332653097264022,406
1538332653193642230,404
1538332653298973585,405
1538332653413327268,403
1538332653521285152,405
1538332653610422101,404
1538332653713075080,404
1538332653813304191,403
1538332653909351364,404
1538332654041255156,404
1538332654161302531,414
1538332654261075025,402
1538332654365265749,406
1538332654459969426,404
1538332654557611590,513
1538332654667686412,409
1538332654753297641,405
1538332654865426225,403
1538332654977382051,404
1538332655099519351,402
1538332655193331088,400
1538332655301717608,402
1538332655405787851,404
1538332655493022744,401
1538332655599658868,405
1538332655692974408,404
1538332655797504820,503
1538332655909381177,401
1538332656021107809,405
1538332656119930884,403
1538332656225498558,403
1538332656341475644,406
1538332656441301321,404
1538332656545363807,405
1538332656661587167,403
1538332656781123620,403
1538332656878989678,402
1538332657009476458,405
1538332657132374126,406
1538332657269365321,414
1538332657309012419,415
1538332657406182187,441
1538332657503789045,407
1538332657637355909,405
1538332657729133502,406
1538332657829184827,409
1538332657941764202,402
1538332658029223537,404
1538332658153776403,403
1538332658245382782,406
1538332658357313273,402
1538332658461485918,408
1538332658561242226,404
1538332658673248012,403
1538332658767790184,406
1538332658881262677,403
1538332658961679288,403
1538332659061679209,406
1538332659161276654,439
1538332659273266243,402
1538332659372789448,403
1538332659481543167,401
1538332659586633037,401
1538332659714095099,403
1538332659825652356,404
1538332659925826508,402
1538332660033309661,404
1538332660121422033,405
1538332660239489308,401
1538332660365460197,405
1538332660482047674,402
1538332660585253973,405
1538332660689288446,405
1538332660778281144,403
1538332660909530834,406
1538332661026587254,404
1538332661125452595,405
1538332661225023246,403
1538332661325449708,401
1538332661429367976,403
1538332661533714646,430
1538332661633466865,400
1538332661733516299,407
1538332661841541022,403
1538332661949696282,406
1538332662033808540,404
1538332662155143534,401
1538332662257919194,412
1538332662369850640,500
1538332662469140505,394
1538332662577496426,404
1538332662667259557,472
1538332662772716415,393
1538332662871257030,403
1538332662997829467,406
1538332663097408737,404
1538332663200992011,401
1538332663292920321,460
1538332663400459967,398
1538332663514343451,403
1538332663617608222,400
1538332663717536133,404
1538332663837647810,403
1538332663953601921,495
1538332664065384550,405
1538332664193886049,403
1538332664345930691,408
1538332664359095795,407
1538332664516783140,403
1538332664667865271,527
1538332664697375459,405
1538332664816523546,405
1538332664959712218,403
1538332665123632850,400
1538332665127827778,402
1538332665213277942,403
1538332665430872282,407
1538332665449852130,408
1538332665575798650,403
1538332665737800531,402
1538332665746724128,415
1538332665881349883,403
1538332666045178887,404
1538332666066862730,404
1538332666189554428,403
1538332666352527231,404
1538332666369464593,406
1538332666495935830,404
1538332666659723876,409
1538332666672423975,400
1538332666805935499,405
1538332666968062427,404
1538332667110785348,404
1538332667129576960,403
1538332667273847629,401
1538332667417793423,404
1538332667441341274,402
1538332667581015752,405
1538332667725331985,408
1538332667888838809,399
1538332667911320962,405
1538332668031778692,402
1538332668196041188,404
1538332668217564437,404
1538332668339001398,400
1538332668502833896,490
1538332668514629972,438
1538332668601792139,402
1538332668722945042,402
1538332668841792628,404
1538332668925481782,403
1538332669036087497,402
1538332669141787936,436
1538332669233827535,404
1538332669345340488,403
1538332669445940245,403
1538332669544283391,405
1538332669654334612,404
1538332669777757190,405
1538332669875504913,406
1538332669965862777,418
1538332670069646973,402
1538332670185280853,407
1538332670272064995,404
1538332670369808359,407
1538332670470250817,402
1538332670573514858,403
1538332670706066720,405
1538332670809960135,420
1538332670924786917,432
1538332671020339826,399
1538332671121585096,405
1538332671219395357,402
1538332671333109643,404
1538332671451534745,408
1538332671545721528,407
1538332671645810167,404
1538332671766012155,402
1538332671861884000,404
1538332671961946713,405
1538332672063022953,405
1538332672165869074,404
1538332672269262483,403
1538332672377860256,404
1538332672481895565,401
1538332672593665825,445
1538332672681744435,406
1538332672810351960,405
1538332672901989446,404
1538332673014038375,538
1538332673113282732,402
1538332673221960147,407
1538332673319161096,403
1538332673414222627,408
1538332673517844827,402
1538332673617962739,493
1538332673723258140,399
1538332673837294050,406
1538332673942011658,403
1538332674057927197,398
1538332674153922704,405
1538332674244069670,400
1538332674374035067,515
1538332674465945818,400
1538332674569940970,404
1538332674673662033,408
1538332674777787948,401
1538332674889974527,403
1538332675022760098,403
1538332675106098515,402
1538332675217749733,402
1538332675303561659,403
